/home/wenhan/anaconda3/envs/tensorflow/lib/python3.9/site-packages/torch/utils/checkpoint.py:25: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn("None of the inputs have requires_grad=True. Gradients will be None")
file dHOTRGv1.py


Loading from file:  ./Results/new_NBeta36D6tau0.2180811043627125
beta=  0.2180811043627125  # of layers= 36
Previous HOTRG results: mag=0.0000468636, E=-0.9419848323, Fe=-3.5460717678, Entropy=0.5679021478]

=========================== dHOTRG: re-optimiztion ======================
------------- forward ---------

[(0)-th iter]  W(00,0), F_en=-3.5472853184  W(00,1), F_en=-3.5472853184 
[(0)-th iter]  W(01,0), F_en=-3.5472853184  W(01,1), F_en=-3.5472853184 
[(1)-th iter]  W(01,0), F_en=-3.5472855568  W(01,1), F_en=-3.5472855568 
[(2)-th iter]  W(01,0), F_en=-3.5472848415  W(01,1), F_en=-3.5472848415 
[(3)-th iter]  W(01,0), F_en=-3.5472857952  W(01,1), F_en=-3.5472857952 
[(0)-th iter]  W(02,0), F_en=-3.5472857952  W(02,1), F_en=-3.5472855568 
[(2)-th iter]  W(02,0), F_en=-3.5472857952  W(02,1), F_en=-3.5472857952 
[(0)-th iter]  W(03,0), F_en=-3.5472857952  W(03,1), F_en=-3.5472857952 
[(2)-th iter]  W(03,0), F_en=-3.5472860336  W(03,1), F_en=-3.5472860336 
[(0)-th iter]  W(04,0), F_en=-3.5472860336  W(04,1), F_en=-3.5472865105 
[(2)-th iter]  W(04,0), F_en=-3.5472860336  W(04,1), F_en=-3.5472865105 
[(0)-th iter]  W(05,0), F_en=-3.5472865105  W(05,1), F_en=-3.5472865105 
[(2)-th iter]  W(05,0), F_en=-3.5472865105  W(05,1), F_en=-3.5472865105 
[(0)-th iter]  W(06,0), F_en=-3.5472865105  W(06,1), F_en=-3.5472865105 
[(2)-th iter]  W(06,0), F_en=-3.5472860336  W(06,1), F_en=-3.5472865105 
[(0)-th iter]  W(07,0), F_en=-3.5472865105  W(07,1), F_en=-3.5472860336 
[(2)-th iter]  W(07,0), F_en=-3.5472860336  W(07,1), F_en=-3.5472860336 
[(0)-th iter]  W(08,0), F_en=-3.5472860336  W(08,1), F_en=-3.5472860336 
[(2)-th iter]  W(08,0), F_en=-3.5472860336  W(08,1), F_en=-3.5472860336 
[(0)-th iter]  W(09,0), F_en=-3.5472860336  W(09,1), F_en=-3.5472860336 
[(2)-th iter]  W(09,0), F_en=-3.5472865105  W(09,1), F_en=-3.5472865105 
[(0)-th iter]  W(10,0), F_en=-3.5472865105  W(10,1), F_en=-3.5472865105 
[(2)-th iter]  W(10,0), F_en=-3.5472860336  W(10,1), F_en=-3.5472860336 
[(0)-th iter]  W(11,0), F_en=-3.5472860336  W(11,1), F_en=-3.5472865105 
[(2)-th iter]  W(11,0), F_en=-3.5472865105  W(11,1), F_en=-3.5472865105 
